step_num,-gneE0,-gneE1,-gneE2,-gneE3
317,21,19,22,20
318,21,19,22,19
319,21,18,22,19
320,21,18,22,19
321,21,18,23,19
322,21,17,23,18
323,22,18,23,19
324,22,18,23,19
325,22,17,23,19
326,22,17,23,19
327,22,18,23,18
328,22,18,24,18
329,23,17,24,19
330,23,16,24,18
331,23,16,24,18
332,24,17,24,19
333,24,17,24,19
334,24,17,24,18
335,24,16,24,18
336,24,17,24,18
337,24,17,24,18
338,24,17,24,18
339,24,17,24,18
340,24,17,24,17
341,24,17,24,17
342,24,16,24,18
343,24,17,24,17
344,24,17,24,17
345,24,17,24,17
346,24,16,24,17
347,24,17,24,17
348,24,16,24,18
349,24,16,24,17
350,24,17,24,17
351,24,16,24,17
352,24,16,24,16
353,24,17,24,16
354,24,16,24,16
355,24,16,24,16
356,24,16,24,17
357,24,15,24,16
358,24,16,24,17
359,24,17,24,17
360,23,17,24,17
361,23,18,23,18
362,23,18,23,18
363,23,18,23,18
364,23,18,22,18
365,23,19,22,19
366,23,19,22,19
367,23,19,21,19
368,22,20,21,19
369,22,20,21,20
370,22,20,20,20
371,22,21,20,20
372,21,21,20,21
373,21,21,20,21
374,21,21,20,21
375,20,22,20,22
376,20,22,20,22
377,20,22,19,22
378,19,22,19,22
379,19,22,19,23
380,19,23,19,23
381,18,23,19,23
382,18,23,19,23
383,18,23,19,23
384,18,23,18,23
385,17,23,18,23
386,18,23,17,23
387,18,23,18,23
388,17,23,17,23
389,17,24,17,23
390,17,24,17,24
391,17,24,16,24
392,17,24,16,24
393,17,24,16,24
394,17,24,17,24
395,16,24,17,24
396,16,24,16,24
397,17,24,16,24
398,16,24,17,24
399,16,24,16,24
400,16,24,16,24
401,16,24,17,24
402,16,24,17,24
403,17,24,16,24
404,16,24,16,24
405,16,24,16,24
406,15,24,16,24
407,15,24,16,24
408,15,24,16,24
409,16,24,15,24
410,16,24,16,24
411,16,24,16,24
412,16,24,15,24
413,15,24,16,24
414,15,24,16,24
415,16,24,15,24
416,15,24,16,24
417,16,24,16,24
418,17,24,15,24
419,16,24,15,24
420,16,23,16,23
421,17,23,16,23
422,17,23,16,23
423,17,23,17,22
424,18,23,18,22
425,18,23,18,22
426,18,23,19,21
427,19,22,19,21
428,19,22,19,21
429,19,22,20,20
430,20,21,20,20
431,20,21,20,20
432,21,21,20,20
433,21,20,21,20
434,21,20,21,20
435,21,19,21,20
436,22,19,21,19
437,22,19,21,19
438,22,19,22,19
439,22,19,22,19
440,22,18,22,18
441,23,18,23,19
442,23,19,23,19
443,23,19,23,19
444,23,19,23,18
445,23,19,23,18
446,23,18,23,18
447,23,18,23,19
448,23,18,23,18
449,24,19,23,18
450,24,19,24,18
451,24,18,24,18
452,24,18,24,18
453,24,19,24,18
454,24,19,24,18
455,24,18,24,18
456,24,18,24,18
457,24,17,24,18
458,24,18,24,17
459,24,18,24,18
460,24,18,24,18
461,24,17,24,18
462,24,18,24,17
463,24,17,24,17
464,24,17,24,18
465,24,16,24,17
466,24,16,24,17
467,24,17,24,17
468,24,16,24,17
469,24,16,24,17
470,24,17,24,17
471,24,16,24,16
472,24,16,24,16
473,24,17,24,16
474,24,16,24,16
475,24,17,24,16
476,24,17,24,15
477,24,17,24,16
478,24,17,24,17
479,24,18,24,16
480,24,18,24,16
481,23,18,23,16
482,23,18,23,16
483,23,18,23,17
484,23,19,23,17
485,22,19,22,17
486,22,19,22,18
487,22,19,22,18
488,22,20,22,18
489,22,20,21,18
490,22,20,21,19
491,21,21,21,19
492,21,21,20,19
493,21,21,20,19
494,21,21,19,20
495,20,22,19,20
496,20,22,19,20
497,20,22,18,20
498,20,22,18,21
499,20,22,18,21
500,19,22,17,21
501,19,23,18,22
502,19,23,18,22
503,20,23,18,22
504,19,23,17,22
505,19,23,17,23
506,19,23,17,23
507,18,23,17,23
508,18,23,17,23
509,18,24,16,23
510,18,24,16,23
511,18,24,16,23
512,18,24,16,24
513,18,24,16,24
514,17,24,17,24
515,17,24,16,24
516,17,24,16,24
517,18,24,17,24
518,17,24,16,24
519,17,24,16,24
520,18,24,17,24
521,17,24,16,24
522,17,24,16,24
523,16,24,16,24
524,17,24,17,24
525,17,24,16,24
526,16,24,16,24
527,16,24,15,24
528,16,24,15,24
529,16,24,16,24
530,16,24,15,24
531,16,24,15,24
532,17,24,15,24
533,16,24,15,24
534,16,24,15,24
535,16,24,15,24
536,15,24,16,24
537,16,24,16,24
538,16,24,15,24
539,15,24,16,24
540,16,23,17,23
541,17,23,17,23
542,17,23,18,23
543,17,22,18,22
544,18,22,18,22
545,18,21,19,22
546,18,21,19,22
547,19,21,19,22
548,19,21,20,21
549,19,20,20,21
550,20,20,20,21
551,20,19,20,21
552,20,19,21,21
553,20,19,21,21
554,21,18,21,21
555,21,18,21,21
556,21,18,21,21
557,21,17,22,21
558,22,17,22,21
559,22,18,22,21
560,22,17,22,21
561,22,17,23,21
562,22,17,23,21
563,22,16,23,21
564,22,16,23,21
565,23,16,23,21
566,23,16,23,20
567,23,16,23,20
568,23,16,23,20
569,23,16,23,20
570,23,15,23,20
571,23,15,23,20
572,24,16,24,20
573,24,16,24,19
