step_num,-gneE0,-gneE1,-gneE2,-gneE3
175,68.0,1236.0,80.0,1079.0
176,75.0,1260.0,89.0,1101.0
177,83.0,1284.0,96.0,1123.0
178,92.0,1308.0,103.0,1145.0
179,100.0,1332.0,113.0,1167.0
180,109.0,1267.0,120.0,1102.0
181,117.0,1205.0,128.0,1042.0
182,127.0,1144.0,138.0,1062.0
183,136.0,1084.0,149.0,1084.0
184,147.0,1025.0,162.0,1022.0
185,157.0,969.0,175.0,962.0
186,168.0,911.0,189.0,906.0
187,180.0,854.0,204.0,925.0
188,193.0,870.0,217.0,943.0
189,203.0,887.0,232.0,885.0
190,215.0,826.0,245.0,827.0
191,228.0,841.0,260.0,844.0
192,241.0,857.0,273.0,785.0
193,254.0,800.0,288.0,801.0
194,267.0,744.0,303.0,741.0
195,280.0,689.0,319.0,756.0
196,293.0,700.0,333.0,696.0
197,306.0,712.0,349.0,635.0
198,319.0,723.0,365.0,572.0
199,332.0,735.0,381.0,586.0
200,345.0,747.0,398.0,596.0
201,358.0,759.0,415.0,609.0
202,371.0,772.0,433.0,620.0
203,384.0,783.0,452.0,632.0
204,397.0,796.0,471.0,644.0
205,411.0,807.0,490.0,656.0
206,425.0,819.0,510.0,668.0
207,440.0,832.0,528.0,680.0
208,455.0,843.0,548.0,692.0
209,467.0,855.0,569.0,704.0
210,482.0,778.0,590.0,627.0
211,497.0,701.0,612.0,554.0
212,512.0,625.0,632.0,484.0
213,528.0,551.0,654.0,415.0
214,542.0,478.0,675.0,352.0
215,558.0,487.0,697.0,292.0
216,574.0,415.0,720.0,300.0
217,590.0,424.0,743.0,244.0
218,606.0,429.0,766.0,251.0
219,622.0,359.0,790.0,200.0
220,639.0,367.0,812.0,150.0
221,656.0,298.0,836.0,99.0
222,673.0,229.0,860.0,103.0
223,690.0,161.0,884.0,65.0
224,707.0,95.0,908.0,33.0
225,724.0,28.0,932.0,37.0
226,741.0,34.0,956.0,43.0
227,758.0,37.0,980.0,49.0
228,775.0,42.0,1004.0,53.0
229,792.0,47.0,1028.0,60.0
230,809.0,53.0,1052.0,67.0
231,826.0,60.0,1076.0,76.0
232,844.0,65.0,1100.0,84.0
233,862.0,72.0,1124.0,93.0
234,880.0,79.0,1148.0,100.0
235,898.0,87.0,1172.0,109.0
236,917.0,96.0,1196.0,121.0
237,936.0,105.0,1220.0,129.0
238,955.0,115.0,1244.0,137.0
239,974.0,125.0,1268.0,147.0
240,909.0,133.0,1202.0,154.0
241,844.0,142.0,1142.0,165.0
242,861.0,152.0,1085.0,175.0
243,799.0,164.0,1106.0,187.0
244,738.0,176.0,1049.0,199.0
245,755.0,190.0,1069.0,212.0
246,691.0,204.0,1011.0,225.0
247,705.0,218.0,951.0,239.0
248,642.0,232.0,894.0,252.0
249,580.0,247.0,911.0,266.0
250,519.0,262.0,853.0,280.0
251,460.0,277.0,869.0,294.0
252,471.0,292.0,813.0,309.0
253,414.0,307.0,757.0,324.0
254,423.0,322.0,700.0,339.0
255,436.0,338.0,713.0,355.0
256,375.0,355.0,655.0,371.0
257,389.0,370.0,668.0,388.0
258,332.0,388.0,679.0,403.0
259,340.0,406.0,692.0,420.0
260,352.0,424.0,704.0,438.0
261,365.0,442.0,715.0,453.0
262,378.0,460.0,728.0,471.0
263,390.0,479.0,739.0,490.0
264,401.0,498.0,751.0,507.0
265,412.0,518.0,763.0,526.0
