step_num,-gneE0,-gneE1,-gneE2,-gneE3
176,14.0,101.0,17.0,111.0
177,10.0,108.0,12.0,123.0
178,3.0,119.0,7.0,133.0
179,1.0,127.0,5.0,116.0
180,2.0,116.0,6.0,128.0
181,5.0,103.0,10.0,138.0
182,4.0,94.0,12.0,128.0
183,6.0,104.0,14.0,116.0
184,5.0,95.0,15.0,103.0
185,6.0,102.0,19.0,112.0
186,9.0,107.0,21.0,124.0
187,3.0,113.0,15.0,131.0
188,4.0,99.0,9.0,142.0
189,5.0,89.0,16.0,128.0
190,5.0,76.0,9.0,115.0
191,5.0,77.0,10.0,117.0
192,6.0,87.0,14.0,102.0
193,10.0,88.0,19.0,63.0
194,10.0,52.0,24.0,64.0
195,15.0,64.0,27.0,66.0
196,17.0,43.0,30.0,67.0
197,11.0,46.0,23.0,69.0
198,7.0,50.0,18.0,25.0
199,9.0,48.0,12.0,6.0
200,6.0,49.0,14.0,6.0
201,4.0,35.0,7.0,8.0
202,10.0,15.0,8.0,9.0
203,12.0,23.0,5.0,9.0
204,11.0,24.0,4.0,13.0
205,1.0,30.0,4.0,18.0
206,4.0,38.0,4.0,22.0
207,3.0,43.0,3.0,25.0
208,2.0,50.0,3.0,32.0
209,0.0,52.0,7.0,40.0
210,1.0,63.0,5.0,48.0
211,0.0,71.0,5.0,55.0
212,0.0,79.0,2.0,63.0
213,1.0,76.0,4.0,59.0
214,2.0,70.0,5.0,54.0
215,0.0,80.0,0.0,53.0
216,1.0,77.0,5.0,49.0
217,0.0,75.0,4.0,60.0
218,1.0,73.0,3.0,63.0
219,0.0,77.0,1.0,61.0
220,0.0,80.0,2.0,60.0
221,0.0,63.0,1.0,46.0
222,0.0,55.0,4.0,35.0
223,0.0,37.0,0.0,27.0
224,0.0,34.0,2.0,14.0
225,0.0,42.0,1.0,18.0
226,0.0,28.0,1.0,17.0
227,1.0,34.0,0.0,14.0
228,2.0,30.0,2.0,3.0
229,0.0,20.0,3.0,12.0
230,0.0,24.0,2.0,18.0
231,0.0,18.0,4.0,12.0
232,0.0,13.0,5.0,13.0
233,1.0,8.0,5.0,8.0
234,2.0,12.0,8.0,12.0
235,3.0,15.0,9.0,16.0
236,6.0,15.0,11.0,19.0
237,2.0,18.0,8.0,24.0
238,4.0,13.0,6.0,29.0
239,1.0,18.0,3.0,30.0
240,2.0,10.0,1.0,34.0
241,5.0,10.0,1.0,41.0
242,6.0,16.0,1.0,50.0
243,5.0,17.0,4.0,56.0
244,7.0,20.0,5.0,62.0
245,3.0,24.0,0.0,69.0
246,2.0,27.0,2.0,72.0
247,1.0,32.0,0.0,83.0
248,1.0,36.0,1.0,91.0
249,1.0,42.0,1.0,96.0
250,1.0,47.0,1.0,109.0
251,1.0,51.0,2.0,115.0
252,0.0,57.0,1.0,122.0
253,1.0,65.0,1.0,136.0
254,2.0,70.0,0.0,144.0
255,2.0,76.0,1.0,157.0
256,0.0,85.0,0.0,168.0
257,0.0,95.0,1.0,182.0
258,0.0,103.0,2.0,194.0
259,1.0,89.0,4.0,177.0
260,3.0,79.0,4.0,188.0
261,2.0,84.0,6.0,171.0
262,1.0,72.0,7.0,156.0
263,1.0,58.0,8.0,165.0
264,0.0,65.0,10.0,175.0
265,2.0,50.0,3.0,186.0
266,3.0,42.0,0.0,198.0
267,6.0,32.0,0.0,202.0
268,6.0,37.0,0.0,206.0
269,7.0,34.0,0.0,218.0
270,6.0,23.0,2.0,219.0
271,8.0,24.0,3.0,194.0
272,11.0,28.0,6.0,168.0
273,13.0,17.0,8.0,176.0
274,20.0,12.0,12.0,183.0
275,25.0,10.0,12.0,155.0
276,28.0,3.0,16.0,129.0
277,35.0,9.0,17.0,76.0
278,38.0,11.0,22.0,82.0
279,43.0,14.0,23.0,55.0
280,47.0,15.0,23.0,56.0
281,56.0,14.0,28.0,30.0
282,63.0,11.0,31.0,4.0
283,72.0,6.0,39.0,2.0
284,83.0,5.0,46.0,1.0
285,83.0,2.0,49.0,2.0
286,90.0,2.0,54.0,0.0
287,94.0,4.0,58.0,0.0
288,100.0,4.0,65.0,1.0
289,109.0,1.0,70.0,4.0
290,115.0,6.0,76.0,1.0
291,120.0,7.0,83.0,2.0
292,129.0,9.0,91.0,4.0
293,139.0,5.0,101.0,2.0
294,147.0,2.0,111.0,0.0
295,159.0,5.0,119.0,1.0
296,169.0,4.0,129.0,1.0
297,181.0,1.0,141.0,0.0
298,194.0,1.0,150.0,0.0
299,174.0,1.0,132.0,1.0
300,156.0,3.0,115.0,1.0
301,140.0,0.0,105.0,0.0
302,150.0,2.0,92.0,2.0
303,133.0,3.0,79.0,0.0
304,118.0,0.0,72.0,0.0
305,105.0,1.0,65.0,0.0
306,100.0,3.0,74.0,3.0
307,107.0,2.0,84.0,2.0
308,99.0,1.0,76.0,1.0
309,110.0,4.0,89.0,1.0
310,99.0,3.0,96.0,2.0
311,110.0,3.0,88.0,0.0
312,121.0,6.0,99.0,0.0
