step_num,-gneE0,-gneE1,-gneE2,-gneE3
317,18,18,20,17
318,18,18,20,18
319,18,17,20,19
320,18,17,20,19
321,18,16,21,18
322,19,16,21,18
323,18,16,20,18
324,19,18,20,18
325,19,18,20,18
326,19,18,21,19
327,19,17,22,19
328,20,18,22,19
329,19,18,21,19
330,19,18,21,20
331,19,19,21,20
332,19,19,21,21
333,19,19,21,21
334,19,20,20,21
335,19,19,20,20
336,19,19,20,20
337,19,19,20,19
338,20,18,20,19
339,21,18,20,20
340,21,19,21,20
341,21,19,21,19
342,21,18,21,19
343,20,18,20,19
344,20,19,20,19
345,20,18,20,18
346,21,18,21,20
347,21,18,21,19
348,21,19,21,19
349,21,19,20,19
350,20,19,20,19
351,20,18,20,18
352,20,18,20,18
353,20,18,20,18
354,20,18,20,17
355,19,18,19,17
356,19,18,20,17
357,20,17,20,18
358,20,17,20,17
359,20,16,20,17
360,20,17,20,17
361,21,17,20,17
362,21,17,20,16
363,21,18,20,16
364,21,18,20,17
365,21,18,20,17
366,21,18,21,16
367,21,19,22,16
368,21,19,22,17
369,21,19,21,18
370,21,19,21,18
371,20,19,20,18
372,20,21,20,18
373,20,21,20,18
374,20,21,20,19
375,19,21,19,20
376,20,21,19,20
377,19,21,19,20
378,19,22,18,20
379,20,22,18,19
380,20,21,18,20
381,20,20,20,19
382,20,20,20,19
383,19,20,20,19
384,19,20,19,19
385,19,20,19,20
386,19,22,19,21
387,19,22,19,21
388,19,22,18,21
389,19,22,18,21
390,19,21,18,20
391,18,21,19,20
392,19,21,18,20
393,19,21,18,21
394,20,21,19,21
395,19,21,18,21
396,19,21,18,21
397,19,21,18,21
398,19,21,18,20
399,18,21,18,20
400,18,21,18,20
401,17,21,17,20
402,17,21,18,20
403,17,21,18,20
404,19,21,19,21
405,19,21,19,22
406,19,21,19,21
407,19,20,19,21
408,19,21,19,21
409,19,21,20,21
410,19,20,20,20
411,20,20,20,20
412,20,20,20,20
413,20,20,20,20
414,19,20,19,20
415,19,21,19,21
416,21,21,19,21
417,21,20,19,20
418,21,20,20,20
419,20,20,19,20
420,20,20,20,20
421,20,20,20,19
422,20,19,20,19
423,19,19,20,19
424,19,19,19,19
425,19,19,19,19
426,20,19,19,19
427,20,18,19,20
428,21,19,19,20
429,21,19,19,19
430,21,20,19,20
431,20,20,20,20
432,20,20,19,20
433,19,20,18,20
434,19,20,18,20
435,19,20,18,20
436,20,19,18,20
437,20,20,17,20
438,19,20,18,20
439,19,20,18,20
440,19,20,18,20
441,18,20,18,20
442,18,21,18,20
443,18,20,18,20
444,18,20,18,20
445,18,19,18,19
